,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
8375,"[""['데코·식물', '인테리어소품', '모빌·가랜드']"", ""['조명', '장스탠드']"", ""['패브릭', '쿠션·방석', '쿠션']""]","[""['가구', '소파', '일반소파']""]",0.001314800901577761,0.16829451540195342,0.0011269722013523666,0.8571428571428571,5.093112244897958,0.0009056984207712858,5.821938392186325
4786,"[""['데코·식물', '홈갤러리', '그림·사진', '풍경·자연']"", ""['가구', '테이블·식탁·책상', '거실·소파테이블']""]","[""['가구', '소파', '일반소파']""]",0.002066115702479339,0.16829451540195342,0.0016904583020285499,0.8181818181818181,4.861607142857142,0.001342742361115423,4.574380165289255
6111,"[""['데코·식물', '홈갤러리', '그림·사진', '식물·꽃']"", ""['가구', '테이블·식탁·책상', '식탁', '식탁·입식테이블']""]","[""['가구', '의자', '인테리어의자']""]",0.0015026296018031556,0.22689706987227648,0.0011269722013523666,0.7499999999999999,3.30546357615894,0.000786029947599885,3.0924117205108925
7768,"[""['데코·식물', '홈갤러리', '그림·사진', '풍경·자연']"", ""['패브릭', '매트리스커버']""]","[""['패브릭', '베개·베개커버', '베개커버']""]",0.0016904583020285499,0.045078888054094664,0.0011269722013523666,0.6666666666666666,14.788888888888888,0.0010507682207951067,2.864763335837716
6075,"[""['데코·식물', '인테리어소품', '장식소품']"", ""['가구', '테이블·식탁·책상', '식탁', '식탁·입식테이블']""]","[""['가구', '의자', '인테리어의자']""]",0.003756574004507889,0.22689706987227648,0.002441773102930128,0.65,2.8647350993377483,0.0015894174685489241,2.2088655146506384
8374,"[""['데코·식물', '인테리어소품', '모빌·가랜드']"", ""['조명', '장스탠드']"", ""['가구', '소파', '일반소파']""]","[""['패브릭', '쿠션·방석', '쿠션']""]",0.0018782870022539444,0.05709992486851991,0.0011269722013523666,0.6,10.507894736842104,0.001019722154642149,2.3572501878287
6700,"[""['데코·식물', '홈갤러리', '액자']"", ""['패브릭', '블라인드·롤스크린', '블라인드']""]","[""['가구', '의자', '인테리어의자']""]",0.0018782870022539444,0.22689706987227648,0.0011269722013523666,0.6,2.644370860927152,0.0007007943841617647,1.9327573253193087
6110,"[""['데코·식물', '홈갤러리', '그림·사진', '식물·꽃']"", ""['가구', '의자', '인테리어의자']""]","[""['가구', '테이블·식탁·책상', '식탁', '식탁·입식테이블']""]",0.0018782870022539444,0.1684823441021788,0.0011269722013523666,0.6,3.5612040133779264,0.0008105140043159676,2.078794139744553
6092,"[""['데코·식물', '플라워·식물', '조화', '조화꽃']"", ""['가구', '테이블·식탁·책상', '식탁', '식탁·입식테이블']""]","[""['가구', '의자', '인테리어의자']""]",0.002253944402704733,0.22689706987227648,0.001314800901577761,0.5833333333333334,2.570916114790287,0.0008033875209490388,1.8554470323065364
6118,"[""['데코·식물', '홈갤러리', '그림·사진', '일러스트·드로잉']"", ""['가구', '테이블·식탁·책상', '식탁', '식탁·입식테이블']""]","[""['가구', '의자', '인테리어의자']""]",0.007137490608564989,0.22689706987227648,0.004132231404958678,0.5789473684210527,2.5515859184384806,0.0025127556996343905,1.8361194590533434
5403,"[""['데코·식물', '인테리어소품', '모빌·가랜드']"", ""['패브릭', '쿠션·방석', '쿠션']""]","[""['가구', '소파', '일반소파']""]",0.0035687453042824945,0.16829451540195342,0.002066115702479339,0.5789473684210527,3.4400845864661656,0.0014655154409021196,1.9753005259203609
6088,"[""['데코·식물', '플라워·식물', '식물', '중대형식물']"", ""['가구', '테이블·식탁·책상', '식탁', '식탁·입식테이블']""]","[""['가구', '의자', '인테리어의자']""]",0.005259203606311044,0.22689706987227648,0.003005259203606311,0.5714285714285714,2.5184484389782402,0.0018119613154726256,1.803906836964688
